ダウンロード実行日,2010年07月28日現在,件数,10985件
ＥＤＩＮＥＴコード,提出者名,所在地
E00179,株式会社植木組,新潟県柏崎市新橋２番８号
E00180,株式會社　白石,東京都千代田区平河町二丁目１番１号
E00181,株式会社四電工,香川県高松市松島町１丁目１１番２２号
E00182,神田通信機株式会社,東京都千代田区神田富山町２４番地
E00183,株式会社大気社,東京都新宿区西新宿二丁目６番１号
E00184,西部電気工業株式会社,福岡県福岡市博多区博多駅東三丁目７番１号
E00185,日本リーテック株式会社,東京都北区西ヶ原一丁目５２番１０号
E00186,アタカ大機株式会社,東京都港区新橋二丁目１６番１号
E00187,日建工学株式会社,東京都新宿区西新宿６丁目１０番１号
E00189,株式会社協和日成,東京都渋谷区神南一丁目８番１０号
E00190,株式会社明和工務店,兵庫県神戸市中央区港島中町七丁目４番３
E00191,シーキューブ株式会社,愛知県名古屋市中区門前町１番５１号
E00192,ショーボンド建設株式会社,東京都江東区南砂二丁目２番１７号
E00193,株式会社ＴＴＫ,宮城県仙台市若林区新寺１丁目２番２３号
E00194,ダイダン株式会社,大阪府大阪市西区江戸堀１丁目９番２５号
E00196,株式会社福田組,新潟県新潟市中央区一番堀通町３番地１０
E00197,東日本ハウス株式会社,岩手県盛岡市長田町２番２０号
E00198,西日本システム建設株式会社,熊本県熊本市九品寺３丁目１５番７号
E00199,株式会社コミューチュア,大阪府大阪市西区江戸堀三丁目３番１５号
E00200,東芝プラントシステム株式会社,神奈川県横浜市鶴見区鶴見中央四丁目３６番５号
E00201,名工建設株式会社,愛知県名古屋市中村区名駅一丁目１番４号　ＪＲセントラルタワーズ３４階
E00202,三信建設工業株式会社,東京都台東区柳橋２丁目１９番６号
E00203,大和電設工業株式会社,宮城県仙台市青葉区大町二丁目５番１号
E00204,日本基礎技術株式会社,大阪府大阪市北区松ヶ枝町６番２２号
E00206,株式会社アゼル,東京都大田区西蒲田８丁目２３番１号
E00207,北陸電気工事株式会社,富山県富山市東田地方町１丁目１番１号
E00208,株式会社丹青社,東京都台東区上野５丁目２番２号
E00209,株式会社　高田工業所,福岡県北九州市八幡西区築地町１番１号
E00210,ＮＥＣネッツエスアイ株式会社,東京都品川区東品川一丁目３９番９号
E00211,株式会社ソルコム,広島県広島市中区南千田東町２番３２号
E00213,北陸電話工事株式会社,石川県金沢市大手町２番３号
E00214,青木マリーン株式会社,大阪府大阪市北区大淀南一丁目４番１５号
E00215,東邦建株式会社,栃木県佐野市越名町２０４１番地７
E00216,株式会社ＡＴＳ,東京都品川区西五反田七丁目１番９号
E00217,カブトデコム株式会社,北海道札幌市中央区宮の森４条１丁目３番３５号
E00218,大東建託株式会社,東京都港区港南二丁目１６番１号
E00219,川田建設株式会社,東京都北区滝野川６丁目３番１号
E00220,旭ホームズ株式会社,東京都多摩市関戸二丁目２４番地２７
E00221,新日本建設株式会社,千葉県千葉市美浜区ひび野一丁目４番３
E00222,高橋カーテンウォール工業株式会社,東京都中央区日本橋室町３丁目２番１５号
E00223,株式会社日商インターライフ,東京都北区東田端二丁目１１番１号
E00225,株式会社テクノ菱和,東京都港区赤坂８丁目５番４１号
E00226,株式会社スルガコーポレーション,神奈川県横浜市神奈川区台町１５番地１
E00227,新日本空調株式会社,東京都中央区日本橋浜町二丁目３１番１号
E00229,三平建設株式会社,東京都台東区元浅草一丁目１番１号
E00230,東北ミサワホーム株式会社,宮城県仙台市青葉区中央一丁目３番１号
E00231,株式会社細田工務店,東京都杉並区阿佐谷南３丁目３５番２１号
E00232,株式会社テノックス,東京都港区赤坂六丁目１３番７号
E00233,大成温調株式会社,東京都品川区大井一丁目４７番１号
E00234,山﨑建設株式会社,東京都中央区日本橋富沢町８番６号
E00235,三井ホーム株式会社,東京都新宿区西新宿二丁目１番１号
E00236,横河工事株式会社,東京都豊島区西巣鴨四丁目１４番５号
E00238,株式会社　富士ピー・エス,福岡県福岡市中央区薬院一丁目１３番８号
E00239,株式会社大盛工業,東京都葛飾区水元三丁目１５番８号
E00240,株式会社土屋ホールディングス,北海道札幌市北区北９条西３丁目７番地
E00242,田辺工業株式会社,新潟県上越市大字福田２０番地
E00244,株式会社ＡＳ－ＳＺＫｉ,静岡県三島市八反畑１１７番地の１
E00246,暁飯島工業株式会社,茨城県水戸市千波町２７７０番地の５
E00247,日本土建株式会社,三重県津市大倉１９番１号
E00248,サイタホールディングス株式会社,福岡県朝倉市下渕４７２番地
E00250,第一建設工業株式会社,新潟県新潟市中央区八千代一丁目４番３４号
E00251,株式会社　守谷商会,長野県長野市南千歳町８７８番地
E00252,東邦電気工業株式会社,東京都渋谷区恵比寿一丁目１９番２３号
E00253,株式会社藤木工務店,大阪府大阪市中央区備後町一丁目７番１０号
E00254,株式会社マサル,東京都江東区佐賀一丁目９番１４号
E00255,株式会社大本組,岡山県岡山市北区内山下１丁目１番１３号
E00256,平和奥田株式会社,滋賀県東近江市東沖野一丁目７番１０号
E00258,山加電業株式会社,東京都新宿区西早稲田二丁目２０番９号
E00259,株式会社三東工業社,滋賀県甲賀郡信楽町大字江田６１０番地
E00260,株式会社ナカボーテック,東京都中央区新川二丁目５番２号
E00263,株式会社Ａ．Ｃホールディングス,東京都港区芝大門一丁目２番１号
E00264,大鉄工業株式会社,大阪府大阪市淀川区宮原四丁目４番４４号
E00265,東光電気工事株式会社,東京都千代田区西神田一丁目４番５号
E00266,国土総合建設株式会社,東京都港区海岸三丁目８番１５号　国総芝浦ビル
E00267,常磐開発株式会社,福島県いわき市常磐湯本町辰ノ口１番地
E00268,株式会社　ヤマウラ,長野県駒ヶ根市北町２２番１号
E00269,松本建工株式会社,北海道札幌市東区北４２条東１５丁目１番１号
E00270,古河総合設備株式会社,東京都大田区羽田４丁目３番１号
E00271,川崎設備工業株式会社,愛知県名古屋市中区錦２－１８－５
E00272,三井住建道路株式会社,東京都新宿区余丁町１３番２７号
E00273,富士古河Ｅ＆Ｃ株式会社,神奈川県川崎市幸区堀川町５８０番地
E00274,機動建設工業株式会社,大阪府大阪市福島区福島４丁目６番３１号
E00276,日本乾溜工業株式会社,福岡県福岡市東区馬出１丁目１１番１１号
E00277,藤田エンジニアリング株式会社,群馬県高崎市飯塚町１１７４番地５
E00278,株式会社ピコイ,新潟県新潟市中央区高志１丁目８番１号
E00279,株式会社ソネック,兵庫県高砂市曽根町２２５７番地の１
E00280,沖ウィンテック株式会社,東京都品川区北品川一丁目１９番４号
E00281,東建コーポレーション株式会社,愛知県名古屋市中区丸の内二丁目１番３３号
E00282,工藤建設株式会社,神奈川県横浜市青葉区新石川四丁目３３番地１０
E00284,北陸ミサワホーム株式会社,石川県金沢市堀川町２３番２３号
E00285,株式会社髙松コンストラクショングループ,大阪府大阪市淀川区新北野一丁目２番３号
E00286,ミサワホーム北海道株式会社,北海道札幌市白石区東札幌２条６丁目８－１
E00287,太洋基礎工業株式会社,愛知県名古屋市中川区柳森町１０７番地
E00288,東邦グローバルアソシエイツ株式会社,東京都港区虎ノ門一丁目１６番１６号虎ノ門一丁目ＭＧビルディング
E00289,株式会社土屋ツーバイホーム,北海道札幌市北区北９条西３丁目７番地
E00290,東新住建株式会社,愛知県稲沢市高御堂一丁目３番１８号
E00293,日立プラント建設サービス株式会社,東京都渋谷区恵比寿四丁目２０番３号
